,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Sep 2002 -Dic 2019
BANSANDER,-0.05,9.49,7.16,3.22,11.62,2.82,_,_,_,_,_,_,_,_,_,_,_,_,_
CAPITAL,-1.40,8.83,6.54,2.70,11.41,3.32,-10.38,15.79,7.47,-0.52,3.68,5.05,7.21,1.94,2.69,3.09,1.37,13.25,4.72
CUPRUM,0.25,10.73,6.71,2.72,11.25,2.94,-10.73,15.87,7.98,-0.16,3.48,5.93,8.12,2.50,2.82,2.82,1.09,12.64,4.90
HABITAT,-1.85,8.34,7.19,3.30,12.26,3.60,-8.83,15.58,7.08,0.82,4.05,5.62,7.85,2.40,3.49,3.58,1.31,12.81,5.01
MAGISTER,-1.35,6.82,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MODELO,_,_,_,_,_,_,_,_,_,0.30,4.24,5.67,5.94,2.71,3.76,3.35,1.06,11.89,_
PLANVITAL,-0.84,7.92,6.91,2.61,11.77,3.43,-8.88,13.62,5.91,0.23,3.96,5.44,6.72,1.92,2.30,2.45,1.23,12.13,4.39
PROVIDA,-1.25,8.42,6.60,2.59,10.98,3.34,-9.90,14.86,6.53,0.02,3.89,5.26,7.82,1.54,1.73,2.90,1.10,13.78,4.51
SISTEMA,-1.03,8.94,6.80,2.84,11.46,3.29,-9.86,15.34,7.08,0.06,3.81,5.42,7.68,2.02,2.60,3.09,1.21,13.15,4.74
